smile,label,mpo
COc1cc(OC)cc(C(=O)NS(=O)(=O)c2ccc(CN3CCN(c4ccccc4)CC3)cc2)c1,SZ1TA5,4.425254
O=C(NS(=O)(=O)c1ccc(CN2CCN(c3ccccc3)CC2)cc1)c1ccc(CCc2ccccn2)cc1,SZ1TA17,3.314221
FC1=CC=C(C2=C(N)C(=C(C)N2)C(=O)C)C=C1,SZ1TA41,2.979668
O=C(NS(=O)(=O)c1ccc(CN2CCN(c3ccccc3)CC2)cc1)c1cccc(NCCc2ccccc2)c1,SZ1TA44,2.850812
FC(F)(F)C1=CC=CC(=C1)CNC1CC(C)(C)N2C1=CC=C2,SZ1TA45,2.941229
BrC1=CN(C2OC(C(O)C2)COP(=O)(O)O)C(=O)NC1=O,SZ2TA4,2.583545
COc1cc(OC)cc(C(=O)NS(=O)(=O)c2ccc(CN(C)CCc3ccccc3)cc2)c1,SZ2TA5,4.140924
O(C)CCC(C)(C)CNCC1=CC(=CC(=C1)OC)OC,SZ2TA20,1.85058719
FC(F)(F)OC1=CC2=C(OC(C)(C)[C@H](O)[C@H]2N)C=C1,SZ2TA23,2.263232
CN(CCc1ccccc1)Cc1ccc(S(=O)(=O)NC(=O)c2ccc(-c3ccccn3)cc2)cc1,SZ2TA25,3.020938
CN(CCc1ccccc1)Cc1ccc(S(=O)(=O)NC(=O)c2ccc3c(ccn3Cc3ccc(C(F)(F)F)cc3C(F)(F)F)c2)cc1,SZ2TA30,2.263193
O1CCN(CCCCNC(=O)C2=CC3=CC=CC=C3O2)CC1,SZ2TA41,2.380663
CN(CCc1ccccc1)Cc1ccc(S(=O)(=O)NC(=O)c2ccc(CN3C(=O)C(c4ccc(F)cc4F)=C(c4ccc(F)cc4F)C3=O)cc2)cc1,SZ2TA42,1.804655
CN(CCc1ccccc1)Cc1ccc(S(=O)(=O)NC(=O)c2cccc(NCCc3ccccc3)c2)cc1,SZ2TA44,1
S(C1=CC2=C(C3=C(N2CCCN(C)C)CCOC3)C=C1)C(F)(F)F,SZ2TA45,2.396502
COc1cc2c(cc1OC)C(c1ccccc1)N(CC(=O)NS(=O)(=O)c1ccc(NC(C)=O)cc1)CC2,SZ3TA4,3.702468
CC(=O)Nc1ccc(S(=O)(=O)NC(=O)c2cn(C)c3ccc(-c4cncnc4)cc23)cc1,SZ3TA19,3.880056
IC1=CC=C(C(=O)N=C2SC(=NN2C)S(=O)(=O)N)C=C1,SZ6TA5,3.744342
O1[C@@]2(CCN(C2)C(=O)CC2=CCCCC2)CCC[C@@H]1CN(C)C,SZ6TA17,2.505132
Cn1cc(C(=O)c2cccs2)c2cc(C(=O)NS(=O)(=O)c3ccc(CNCCSc4ccccc4)cc3)ccc21,SZ6TA45,2.011703
O=C(NS(=O)(=O)c1ccc2ccc(NCCSc3ccccc3)cc2c1)c1ccc2c(ccn2Cc2ccc(C(F)(F)F)cc2C(F)(F)F)c1,SZ7TA30,2.5
OC(CC(CC1=CC=CC=C1)C(=O)NC(C(C)C)C1=NC=CN1)C(NC(=O)OC(C)(C)C)CC1=CC=CC=C1,SZ7TA44,2.25
Cn1cc(C(=O)c2cccs2)c2cc(C(=O)NS(=O)(=O)c3ccc4ccc(NCCSc5ccccc5)cc4c3)ccc21,SZ7TA45,2.260909
ClC1=NN=C(NN)C(=C1)N,SZ8TA21,2
N1[C@@H](C)C2=C(CC1)C=C(C)C=C2,SZ8TA41,2.483936
S(C1=CC=C(N2CCOCC2)C=C1)C1=CC=CC2=C1C(=NC(=N2)N)N,SZ8TA45,2.156597
